iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
18000,1000.0,1.5851331,1.5350943e-05,0.0,1.5928086,4.1299734,0.10661628,1.5859343,0.009637117,0.004129973,110.93308782577515
18100,1000.0,1.5845875,2.568353e-05,0.0,1.5974293,5.0075855,0.108421646,1.5852743,0.009216905,0.005007585,111.64324855804443
18200,1000.0,1.5853014,5.7217167e-06,0.0,1.5881623,4.6786466,0.101331,1.5852606,0.009208202,0.0046786466,112.3528482913971
18300,1000.0,1.5864518,2.7809576e-05,0.0,1.6003566,2.4383912,0.10655392,1.5845444,0.008752227,0.0024383916,113.10310006141663
18400,1000.0,1.5845068,4.0421505e-06,0.0,1.5865278,1.3031578,0.105698235,1.5849965,0.009040117,0.0013031577,113.81307244300842
18500,1000.0,1.5840209,4.4407743e-06,0.0,1.5862412,1.8993291,0.106102355,1.5843072,0.008601308,0.001899329,114.53305959701538
18600,1000.0,1.5841727,1.8310726e-05,0.0,1.5933281,3.2947993,0.10811824,1.5860274,0.009696364,0.0032947992,115.26324200630188
18700,1000.0,1.5844089,1.3133386e-05,0.0,1.5909755,0.852136,0.10589474,1.5849159,0.008988738,0.000852136,116.00309300422668
18800,1000.0,1.5845321,3.8493803e-05,0.0,1.6037791,7.5415125,0.101183034,1.5826459,0.007543683,0.0075415126,116.70304870605469
18900,1000.0,1.585711,1.14453105e-05,0.0,1.5914336,2.8975604,0.10566899,1.5832416,0.007922888,0.0028975604,117.4830641746521
19000,1000.0,1.5841346,7.886293e-07,0.0,1.5845289,1.5672648,0.10611204,1.5836769,0.008200049,0.0015672648,118.21285772323608
19100,1000.0,1.5832787,1.1972783e-05,0.0,1.589265,3.9277751,0.10963925,1.5834817,0.008075714,0.003927775,118.90311789512634
19200,1000.0,1.5829918,5.7805873e-06,0.0,1.5858822,0.7796964,0.10566528,1.5851808,0.009157419,0.0007796964,119.6431336402893
